threshold,n_pcs,kingdom_a,kingdom_b,n_samples,covariates_used,procrustes_corr,adj_procrustes_corr,delta_procrustes_corr,mantel_spearman_r,adj_mantel_spearman_r,delta_mantel_spearman_r,rv_coeff,adj_rv_coeff,delta_rv_coeff,embedding_distance_pearson_r,adj_embedding_distance_pearson_r,delta_embedding_distance_pearson_r
0.01,10,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.45015107157145084,0.9719574639056994,0.5218063923342485,0.5434283328112176,0.9550526130168479,0.41162428020563024,0.6136557026853812,0.917967982559103,0.3043122798737218,0.6416220855864382,0.9926505517872533,0.35102846620081507
0.01,20,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.18274082300327776,0.9584548444188982,0.7757140214156204,0.06249630957960584,0.9558739352117172,0.8933776256321113,0.2540343931187756,0.9202883733509918,0.6662539802322162,0.03479906394988409,0.9938023470948284,0.9590032831449443
0.01,20,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.216198996052831,0.9722900541860495,0.7560910581332185,0.1611386208994652,0.948941870080363,0.7878032491808978,0.2776524455067758,0.9448988644122526,0.6672464189054768,0.16286778652914288,0.9913428866247219,0.828475100095579
0.01,20,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.37827231486324153,0.9831786021450215,0.60490628728178,0.38037708817652743,0.9848000312281471,0.6044229430516197,0.4291708530506143,0.9733812014990928,0.5442103484484785,0.3830062319247018,0.9971379091073409,0.6141316771826391
0.01,20,BAC,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.07005615226150752,0.9475194002414244,0.8774632479799169,-0.03219804721409491,0.9798187395168805,1.0120167867309753,0.16304334308311375,0.8998212021979811,0.7367778591148674,-0.117971662275814,0.9908402767350919,1.108811939010906
0.01,20,BAC,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.14070477926655434,0.9397425450030784,0.7990377657365241,-0.021325014387819533,0.9565764495494176,0.9779014639372371,0.2350583847200938,0.8474419394449761,0.6123835547248824,-0.07860550792861987,0.9906670590064125,1.0692725669350325
0.01,20,EUK,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.5000914607757658,0.9868534692172253,0.48676200844145945,0.5079574806265265,0.9624237165730112,0.4544662359464847,0.6664225256046998,0.9681971874520306,0.3017746618473308,0.597724770903501,0.9960199585402881,0.3982951876367872
0.05,5,AMF,BAC,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.326331771631462,0.558847983652614,0.23251621202115202,0.23737558416172075,0.845591231342389,0.6082156471806682,0.4446644892832722,0.7754427786172858,0.33077828933401365,0.24870652471038218,0.7485558906152393,0.4998493659048571
0.05,5,AMF,EUK,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.34885688618678157,0.4920751248639169,0.14321823867713535,0.35632368676554815,0.7739457005330441,0.41762201376749597,0.4908402306664593,0.3074789949562505,-0.18336123571020885,0.38357676410714103,0.6744615884556974,0.29088482434855634
0.05,5,AMF,ITS,84,pH_KCl|N_pct|C_pct|P_Mehlich3_mg_100g|K_Mehlich3_mg_100g|hfp.300|bio1now.100|bio12now.100|region|PC1|PC2|PC3|PC4,0.38684660464750276,0.8006580701383035,0.4138114654908007,0.4142644926108414,0.902954769525679,0.4886902769148376,0.5176033758421388,0.929634221561334,0.41203084571919524,0.4259940157360087,0.8471149447014379,0.4211209289654292
