pair,branch,hypothesis_id,hypothesis_name,adjusted_r2,delta_adjusted_r2_vs_base
AMF↔EUK,presence/absence,E,abiotic_plus_compl,0.1782268186675154,-0.0030501936659118
AMF↔EUK,presence/absence,F,abiotic_plus_alpha_dark,0.1949985411897296,0.0137215288563022
AMF↔EUK,presence/absence,G,abiotic_plus_pool_compl,0.1925173008591685,0.0112402885257412
AMF↔ITS,CLR,A,abiotic_base,0.175330647289839,0.0
AMF↔ITS,CLR,B,abiotic_plus_alpha,0.194746127031679,0.0194154797418399
AMF↔ITS,CLR,C,abiotic_plus_dark,0.1773374399710623,0.0020067926812232
AMF↔ITS,CLR,D,abiotic_plus_pool,0.1850019084151507,0.0096712611253116
AMF↔ITS,CLR,E,abiotic_plus_compl,0.1737749409948128,-0.0015557062950262
AMF↔ITS,CLR,F,abiotic_plus_alpha_dark,0.1916593077611711,0.016328660471332
AMF↔ITS,CLR,G,abiotic_plus_pool_compl,0.1874130296065199,0.0120823823166809
AMF↔ITS,CLR,A,abiotic_base,0.1656494684373326,0.0
AMF↔ITS,CLR,B,abiotic_plus_alpha,0.1836286589471618,0.0179791905098292
AMF↔ITS,CLR,C,abiotic_plus_dark,0.1690191269292241,0.0033696584918915
AMF↔ITS,CLR,D,abiotic_plus_pool,0.1763646905789412,0.0107152221416085
AMF↔ITS,CLR,E,abiotic_plus_compl,0.1620972003667582,-0.0035522680705744
AMF↔ITS,CLR,F,abiotic_plus_alpha_dark,0.1813870146073022,0.0157375461699695
AMF↔ITS,CLR,G,abiotic_plus_pool_compl,0.1761629704440468,0.0105135020067141
AMF↔ITS,presence/absence,A,abiotic_base,0.2087241589393508,0.0
AMF↔ITS,presence/absence,B,abiotic_plus_alpha,0.2306649608407622,0.0219408019014114
AMF↔ITS,presence/absence,C,abiotic_plus_dark,0.210276812674753,0.0015526537354022
AMF↔ITS,presence/absence,D,abiotic_plus_pool,0.219745246508913,0.0110210875695622
AMF↔ITS,presence/absence,E,abiotic_plus_compl,0.2085250542825409,-0.0001991046568098
AMF↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2253283953948488,0.016604236455498
AMF↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.2248398717235603,0.0161157127842095
AMF↔ITS,presence/absence,A,abiotic_base,0.1929619611370178,0.0
AMF↔ITS,presence/absence,B,abiotic_plus_alpha,0.211945408581698,0.0189834474446802
AMF↔ITS,presence/absence,C,abiotic_plus_dark,0.195867896863657,0.0029059357266392
AMF↔ITS,presence/absence,D,abiotic_plus_pool,0.2045386135820088,0.011576652444991
AMF↔ITS,presence/absence,E,abiotic_plus_compl,0.1901507510751908,-0.0028112100618269
AMF↔ITS,presence/absence,F,abiotic_plus_alpha_dark,0.2076397836902086,0.0146778225531908
AMF↔ITS,presence/absence,G,abiotic_plus_pool_compl,0.2060977810434707,0.0131358199064529
BAC↔AMF,CLR,A,abiotic_base,0.2592091309653882,0.0
BAC↔AMF,CLR,B,abiotic_plus_alpha,0.2670643517062934,0.0078552207409051
BAC↔AMF,CLR,C,abiotic_plus_dark,0.2606282870391317,0.0014191560737435
BAC↔AMF,CLR,D,abiotic_plus_pool,0.2644406658697865,0.0052315349043983
