sample_id,site_id if available,country if available,latitude,longitude,biome/region if available,included_in_final_cohort yes/no,available_domains
D138.N1,D138,,45.538721,12.745259,D138,yes,BAC;ITS;EUK;AMF
D139.N1,D139,,39.09396,8.867068,D139,yes,BAC;ITS;EUK;AMF
D140.N1,D140,,48.49416667,-2.35,D140,no,BAC;ITS;EUK
D140.N2,,,,,,no,BAC;ITS;EUK;AMF
D141.N1,D141,,39.37364722,-1.503408333,D141,yes,BAC;ITS;EUK;AMF
D143.N1,D143,,56.52328021,16.51175322,D143,yes,BAC;ITS;EUK;AMF
D145.N1,,,,,,no,BAC;ITS;EUK;AMF
D145.N2,,,,,,no,BAC;ITS;EUK;AMF
D145.N3,D145,,42.7085,-1.20675,D145,yes,BAC;ITS;EUK;AMF
D146.N1,,,,,,no,ITS;AMF
D146.N2,D146,,43.03479,-2.788131,D146,no,ITS;AMF
D149.N1,D149,,46.98672778,142.8067583,D149,yes,BAC;ITS;EUK;AMF
D150.N1,D150,,40.695986,-3.8806894,D150,yes,BAC;ITS;EUK;AMF
D152.N1,,,,,,no,BAC;ITS;EUK;AMF
D153.N1,D153,,45.270035,11.699754,D153,yes,BAC;ITS;EUK;AMF
D154.N1,D154,,52.99025,9.84205,D154,yes,BAC;ITS;EUK;AMF
D156.N1,D156,,-23.04687167,-48.63777779,D156,yes,BAC;ITS;EUK;AMF
D157.N1,D157,,42.12261736,1.407005,D157,yes,BAC;ITS;EUK;AMF
D158.N1,,,,,,no,BAC;ITS;EUK
D158.N2,D158,,48.39669011,9.419228222,D158,yes,BAC;ITS;EUK;AMF
D160.N1,,,,,,no,BAC;ITS;EUK;AMF
D160.N2,D160,,42.70102625,0.789303611,D160,yes,BAC;ITS;EUK;AMF
D161.N1,D161,,47.96448889,5.04595,D161,yes,BAC;ITS;EUK;AMF
D163.N1,D163,,57.5895576,10.1582584,D163,yes,BAC;ITS;EUK;AMF
D164.N1,,,,,,no,BAC;ITS;EUK;AMF
D165.N1,,,,,,no,BAC;ITS;EUK;AMF
D165.N2,,,,,,no,BAC;ITS;EUK;AMF
D168.N1,D168,,30.14361954,51.54816055,D168,yes,BAC;ITS;EUK;AMF
D169.N1,D169,,61.168192,-45.387742,D169,yes,BAC;ITS;EUK;AMF
D171.N1,D171,,40.86725,38.13466667,D171,yes,BAC;ITS;EUK;AMF
D182.N1,D182,,60.69401742,5.086421064,D182,yes,BAC;ITS;EUK;AMF
D182.N2,,,,,,no,BAC;ITS;EUK
D182.N3,,,,,,no,BAC;ITS;EUK;AMF
D183.N1,,,,,,no,BAC;ITS;EUK
D185.N1,D185,,39.986922,115.436958,D185,yes,BAC;ITS;EUK;AMF
D186.N1,D186,,48.49414444,19.21201528,D186,yes,BAC;ITS;EUK;AMF
D187.N1,,,,,,no,BAC;ITS;EUK;AMF
D190.N1,D190,,53.88335,23.33924,D190,yes,BAC;ITS;EUK;AMF
D190.N2,,,,,,no,BAC;ITS;EUK
D191.N1,D191,,61.017695,8.150801,D191,yes,BAC;ITS;EUK;AMF
D192.N1,D192,,60.948776,6.489504,D192,yes,BAC;ITS;EUK;AMF
D193.N1,D193,,-30.15730306,17.54390833,D193,no,BAC;ITS;EUK
D194.N1,D194,,47.051686,33.617807,D194,yes,BAC;ITS;EUK;AMF
D196.N1,D196,,36.845681,50.446367,D196,yes,BAC;ITS;EUK;AMF
D199.N1,,,,,,no,BAC;ITS;EUK;AMF
D199.N2,D199,,39.830558,110.337706,D199,yes,BAC;ITS;EUK;AMF
