kingdom,sample_id,richness_nonzero_taxa
EUK,D199.N2,1330
ITS,D009.N1,242
ITS,D010.N1,437
ITS,D016.N1,33
ITS,D017.N1,345
ITS,D018.N1,369
ITS,D018.N3,11
ITS,D019.N1,190
ITS,D022.N1,353
ITS,D022.N2,298
ITS,D030.N1,263
ITS,D031.N1,382
ITS,D032.N1,169
ITS,D033.N1,305
ITS,D034.N1,165
ITS,D034.N2,176
ITS,D037.N1,398
ITS,D038.N1,369
ITS,D038.N2,330
ITS,D039.N1,347
ITS,D040.N1,349
ITS,D040.N2,152
ITS,D040.N3,302
ITS,D047.N1,323
ITS,D051.N1,312
ITS,D054.N1,160
ITS,D056.N1,388
ITS,D060.N1,136
ITS,D061.N1,243
ITS,D062.N1,185
ITS,D063.N1,292
ITS,D064.N1,163
ITS,D068.N1,154
ITS,D068.N2,368
ITS,D072.N2,39
ITS,D076.N1,252
ITS,D077.N1,321
ITS,D081.N1,28
ITS,D084.N1,410
ITS,D084.N2,106
ITS,D084.N3,181
ITS,D085.N1,210
ITS,D086.N1,336
ITS,D088.N1,115
ITS,D089.N1,327
ITS,D091.N1,245
ITS,D092.N1,192
ITS,D093.N1,289
ITS,D093.N3,125
ITS,D094.N1,151
ITS,D094.N2,73
ITS,D094.N3,281
ITS,D095.N1,318
ITS,D096.N1,498
ITS,D097.N1,261
ITS,D098.N1,253
ITS,D100.N1,242
ITS,D100.N2,374
ITS,D100.N3,157
ITS,D101.N1,299
ITS,D103.N1,191
ITS,D104.N1,313
ITS,D106.N1,259
ITS,D107.N1,377
ITS,D108.N1,245
ITS,D109.N1,402
ITS,D109.N2,352
ITS,D110.N1,142
ITS,D111.N1,114
ITS,D112.N1,220
ITS,D112.N2,327
ITS,D113.N1,215
ITS,D113.N2,271
ITS,D117.N1,300
ITS,D117.N2,307
ITS,D118.N1,307
ITS,D118.N2,254
ITS,D119.N1,521
ITS,D119.N2,233
ITS,D121.N1,236
ITS,D123.N1,312
ITS,D123.N2,193
ITS,D124.N1,201
ITS,D125.N1,200
ITS,D126.N1,238
ITS,D127.N1,208
