kingdom,sample_id,library_size
EUK,D109.N1,7036.0
EUK,D109.N2,13658.0
EUK,D110.N1,4830.0
EUK,D111.N1,6251.0
EUK,D112.N1,16241.0
EUK,D112.N2,16772.0
EUK,D113.N1,14285.0
EUK,D113.N2,15034.0
EUK,D117.N1,16657.0
EUK,D117.N2,12301.0
EUK,D118.N1,429684.0
EUK,D118.N2,12334.0
EUK,D119.N1,12592.0
EUK,D119.N2,9464.0
EUK,D121.N1,22169.0
EUK,D122.N1,49420.0
EUK,D123.N1,25387.0
EUK,D123.N2,4616.0
EUK,D124.N1,20488.0
EUK,D125.N1,26133.0
EUK,D126.N1,6643.0
EUK,D127.N1,9039.0
EUK,D128.N1,27884.0
EUK,D129.N1,26585.0
EUK,D130.N1,10069.0
EUK,D131.N1,16208.0
EUK,D132.N1,76164.0
EUK,D136.N2,15250.0
EUK,D137.N1,22086.0
EUK,D138.N1,7909.0
EUK,D139.N1,13669.0
EUK,D140.N1,4531.0
EUK,D140.N2,6589.0
EUK,D141.N1,23723.0
EUK,D143.N1,21431.0
EUK,D145.N1,4075.0
EUK,D145.N2,14813.0
EUK,D145.N3,25095.0
EUK,D149.N1,8927.0
EUK,D150.N1,14069.0
EUK,D152.N1,16124.0
EUK,D153.N1,19454.0
EUK,D154.N1,40721.0
EUK,D156.N1,36253.0
EUK,D157.N1,9886.0
EUK,D158.N1,54544.0
EUK,D158.N2,49749.0
EUK,D160.N1,17766.0
EUK,D160.N2,13899.0
EUK,D161.N1,46471.0
EUK,D163.N1,4493.0
EUK,D164.N1,32417.0
EUK,D165.N1,10728.0
EUK,D165.N2,18832.0
EUK,D168.N1,15569.0
EUK,D169.N1,18594.0
EUK,D171.N1,48723.0
EUK,D182.N1,2445.0
EUK,D182.N2,3363.0
EUK,D182.N3,9799.0
EUK,D183.N1,44384.0
EUK,D185.N1,37568.0
EUK,D186.N1,42761.0
EUK,D187.N1,47889.0
EUK,D190.N1,35874.0
EUK,D190.N2,49221.0
EUK,D191.N1,2929.0
EUK,D192.N1,31563.0
EUK,D193.N1,22928.0
EUK,D194.N1,35724.0
EUK,D196.N1,23462.0
EUK,D199.N1,20302.0
EUK,D199.N2,42569.0
ITS,D009.N1,2601.0
ITS,D010.N1,3135.0
ITS,D016.N1,87.0
ITS,D017.N1,6092.0
ITS,D018.N1,5383.0
ITS,D018.N3,22.0
ITS,D019.N1,5284.0
ITS,D022.N1,6784.0
ITS,D022.N2,14381.0
ITS,D030.N1,5803.0
ITS,D031.N1,12302.0
ITS,D032.N1,1972.0
ITS,D033.N1,8822.0
ITS,D034.N1,15143.0
ITS,D034.N2,2545.0
ITS,D037.N1,3127.0
ITS,D038.N1,5179.0
ITS,D038.N2,15583.0
ITS,D039.N1,2538.0
ITS,D040.N1,3766.0
ITS,D040.N2,841.0
ITS,D040.N3,2576.0
ITS,D047.N1,8895.0
ITS,D051.N1,2592.0
ITS,D054.N1,3922.0
ITS,D056.N1,11753.0
ITS,D060.N1,1491.0
ITS,D061.N1,3210.0
ITS,D062.N1,1222.0
ITS,D063.N1,3225.0
ITS,D064.N1,3342.0
ITS,D068.N1,1847.0
ITS,D068.N2,2897.0
ITS,D072.N2,1836.0
ITS,D076.N1,3318.0
ITS,D077.N1,3174.0
ITS,D081.N1,45.0
ITS,D084.N1,3498.0
ITS,D084.N2,1529.0
ITS,D084.N3,2513.0
ITS,D085.N1,4467.0
ITS,D086.N1,2850.0
ITS,D088.N1,979.0
ITS,D089.N1,17714.0
ITS,D091.N1,1052.0
ITS,D092.N1,4192.0
ITS,D093.N1,3210.0
ITS,D093.N3,1973.0
ITS,D094.N1,2472.0
ITS,D094.N2,1397.0
ITS,D094.N3,4762.0
ITS,D095.N1,16243.0
ITS,D096.N1,6638.0
ITS,D097.N1,1745.0
ITS,D098.N1,4396.0
ITS,D100.N1,5687.0
ITS,D100.N2,2924.0
ITS,D100.N3,2604.0
ITS,D101.N1,15368.0
ITS,D103.N1,1956.0
ITS,D104.N1,13322.0
ITS,D106.N1,1902.0
ITS,D107.N1,6573.0
ITS,D108.N1,2694.0
ITS,D109.N1,5599.0
ITS,D109.N2,3990.0
ITS,D110.N1,2307.0
ITS,D111.N1,1363.0
ITS,D112.N1,2054.0
ITS,D112.N2,5085.0
ITS,D113.N1,4486.0
ITS,D113.N2,3283.0
ITS,D117.N1,3082.0
ITS,D117.N2,2587.0
ITS,D118.N1,5294.0
ITS,D118.N2,1577.0
ITS,D119.N1,7218.0
ITS,D119.N2,5655.0
