record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base,rank_type,mean_delta_adjusted_r2,mean_adjusted_r2,mean_r2,min_permutation_p,max_permutation_p
,,BAC↔ITS,,,geography_sensitivity,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008704163376236418,0.2738918384845078,0.33512987620268186,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.007240427940738203,0.2724281030490096,0.3250236618647439,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.006891944575385667,0.27207961968365707,0.3334704951320233,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0029869707626548614,0.26817464587092626,0.3210776835188111,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.2651876751082714,0.30945347781259236,0.001,0.001
,,BAC↔ITS,,,geography_sensitivity,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.002460047108791996,0.2627276279994794,0.3160244259754207,0.001,0.001
,,BAC↔ITS,,,primary,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008126108323958436,0.260720734631814,0.2963486510351001,0.001,0.001
,,BAC↔ITS,,,primary,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.006677295522143911,0.2592719218299995,0.3038940952137344,0.001,0.001
,,BAC↔ITS,,,primary,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.00627717460334043,0.258871800911196,0.2945888225540299,0.001,0.001
,,BAC↔ITS,,,primary,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.004678829002814355,0.2572734553106699,0.3020160182437621,0.001,0.001
,,BAC↔ITS,,,primary,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0024219650129714276,0.255016591320827,0.29091940619693174,0.001,0.001
,,BAC↔ITS,,,primary,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.25259462630785556,0.2796092783690174,0.001,0.001
,,BAC↔ITS,,,primary,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.003390648239436189,0.24920397806841937,0.2853869188843992,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.01496054942828734,0.21456372730804285,0.27134225304481085,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.012232677852688445,0.21183585573244396,0.27830753055018964,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008905709286726349,0.20850888716648186,0.2752611496946099,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008256317242881062,0.20785949512263657,0.26512266414991587,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0020256344849586827,0.2016288123647142,0.25934239219377103,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.1996031778797555,0.2478198539110955,0.001,0.001
,,EUK↔ITS,,,geography_sensitivity,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.0025827770168619923,0.19702040086289352,0.2550671188728048,0.001,0.001
,,EUK↔ITS,,,primary,B,abiotic_plus_alpha,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.011927997808448443,0.19786786294574588,0.2365248334061919,0.001,0.001
,,EUK↔ITS,,,primary,F,abiotic_plus_alpha_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.010511603088674715,0.19645146822597215,0.2448580062846485,0.001,0.001
,,EUK↔ITS,,,primary,D,abiotic_plus_pool,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.008593091827971189,0.19453295696526862,0.2333506457862195,0.001,0.001
,,EUK↔ITS,,,primary,G,abiotic_plus_pool_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.006208183584140714,0.19214804872143815,0.24081382891894187,0.001,0.001
,,EUK↔ITS,,,primary,C,abiotic_plus_dark,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0033950935412888628,0.1893349586785863,0.22840315344106404,0.001,0.001
,,EUK↔ITS,,,primary,A,abiotic_base,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,0.0,0.18593986513729743,0.21536372543353977,0.001,0.001
,,EUK↔ITS,,,primary,E,abiotic_plus_compl,,,,,,,,,,,,,,,,,,,,,mean_by_pair_hypothesis,-0.004585398520609241,0.1813544666166882,0.2208072634062454,0.001,0.001
