record_type,combo_index,pair,branch,threshold,model_scope,hypothesis_id,hypothesis_name,seed,n_samples,n_features_domain1,n_features_domain2,n_predictors,predictor_set,r2,adjusted_r2,pseudo_f,permutation_p,permutations,clr_distance_strategy,predictor,full_r2,reduced_r2,delta_r2,full_adj_r2,reduced_adj_r2,delta_adj_r2,baseline_adjusted_r2,delta_adjusted_r2_vs_base
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,bio12now.100,0.2272351007873743,0.2052097933425374,0.0220253074448368,0.1670196540954813,0.1542617031721872,0.0127579509232941,0.1706534375433859,-0.0036337834479045
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,lat,0.2272351007873743,0.2120602659174332,0.015174834869941,0.1670196540954813,0.1615513086044481,0.0054683454910332,0.1706534375433859,-0.0036337834479045
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,lon,0.2272351007873743,0.2134232782322301,0.0138118225551441,0.1670196540954813,0.1630016935035271,0.0040179605919542,0.1706534375433859,-0.0036337834479045
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,N_pct,0.2272351007873743,0.2187486564716859,0.0084864443156883,0.1670196540954813,0.1686684421429478,-0.0016487880474664,0.1706534375433859,-0.0036337834479045
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,E,abiotic_plus_compl,20441706,84,148,4126,6,"pH_KCl,N_pct,bio12now.100,compl,lat,lon",0.2272351007873743,0.1670196540954813,3.773701155952199,0.001,999,direct_aitchison,compl,0.2272351007873743,0.220614073835953,0.0066210269514213,0.1670196540954813,0.1706534375433859,-0.0036337834479045,0.1706534375433859,-0.0036337834479045
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,pH_KCl,0.2497158222724729,0.1467686193254724,0.1029472029470004,0.1806107006396743,0.0802830571949897,0.1003276434446845,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,alpha,0.2497158222724729,0.2293134426598604,0.0204023796126124,0.1806107006396743,0.169259944685304,0.0113507559543702,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,bio12now.100,0.2497158222724729,0.2311071212257091,0.0186087010467638,0.1806107006396743,0.171193390412128,0.0094173102275463,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,lat,0.2497158222724729,0.2357362021417733,0.0139796201306995,0.1806107006396743,0.1761831789320413,0.0044275217076329,0.1706534375433859,0.0099572630962884
predictor_effect,9,AMF↔EUK,CLR,0.05,geography_sensitivity,F,abiotic_plus_alpha_dark,20441707,84,148,4126,7,"pH_KCl,N_pct,bio12now.100,alpha,dark,lat,lon",0.2497158222724729,0.1806107006396743,3.613564615360625,0.001,999,direct_aitchison,lon,0.2497158222724729,0.2360044262553819,0.0137113960170909,0.1806107006396743,0.1764723036259312,0.004138397013743,0.1706534375433859,0.0099572630962884
